,bhk,status,Size(Sq/ft),Price/Sqft,price,bath,area
89,3.0,Under Construction,1380 ,8262,11400000.0,2 ,Noida Extensions
90,,New,900 ,2666,2400000.0,,Sector 148
91,2.0,Under Construction,1050 ,3095,3250000.0,2 ,Noida Extensions
92,2.0,Ready to move,750 ,2533,1900000.0,2 ,Sector 86
93,3.0,Ready to move,1450 ,3517,5100000.0,3 ,Noida Extensions
94,5.0,Ready to move,4000 ,9125,36500000.0,5 ,Sector 41
95,4.0,Ready to move,3000 ,7033,21100000.0,4 ,Phase 2 Noida Extension
96,3.0,Ready to move,900 ,3333,2999000.0,,Sector 102
97,2.0,Ready to move,1035 ,3577,3702000.0,2 ,Sector 74
98,3.0,Ready to move,1545 ,8414,13000000.0,3 ,Sector 76
99,3.0,Ready to move,2280 ,12500,28500000.0,4 ,Sector 79
100,3.0,Ready to move,1971 ,11922,23500000.0,3 ,Sector 77
101,,Ready to move,550 ,10727,5900000.0,1 ,Sector 16B
102,3.0,Under Construction,2150 ,12500,26800000.0,4 ,Sector 150
103,4.0,Ready to move,3501 ,18500,64700000.0,3 ,Sector 107
104,3.0,Under Construction,1800 ,9000,16200000.0,,Noida Extensions
105,3.0,Under Construction,1616 ,13587,21900000.0,4 ,Sector 43
106,2.0,Under Construction,985 ,2842,2800000.0,,Noida Extensions
107,5.0,Under Construction,3750 ,17600,66000000.0,6 ,Sector 43
108,4.0,Ready to move,3000 ,7003,21000000.0,4 ,Phase 2 Noida Extension
109,3.0,Ready to move,1285 ,9182,11800000.0,3 ,Sector 150
110,3.0,Ready to move,1700 ,2529,4300000.0,2 ,Noida Extensions
111,2.0,Under Construction,1155 ,7445,8600000.0,2 ,Sector 150
112,2.0,Ready to move,1155 ,8122,9382000.0,2 ,Sector 150
113,3.0,Ready to move,1495 ,11036,16500000.0,3 ,Sector 143
114,3.0,Ready to move,2215 ,7850,17300000.0,3 ,Sector 74
115,3.0,Ready to move,1375 ,3269,4494000.0,,Noida Extensions
116,4.0,Ready to move,3501 ,18500,64700000.0,3 ,Sector 107
117,3.0,Ready to move,1375 ,3269,4496000.0,2 ,Noida Extensions
118,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
119,4.0,Under Construction,1800 ,3511,6321000.0,4 ,Sector 73
120,,Resale,900 ,500,450000.0,,Yeida
121,,Resale,1000 ,800,800000.0,,Yeida
122,2.0,Under Construction,831 ,30084,25000000.0,,Sector 146
123,2.0,Ready to move,1110 ,9909,11000000.0,2 ,Sector 93
124,2.0,Ready to move,1299 ,9622,12500000.0,2 ,Sector 93
125,2.0,Ready to move,905 ,4475,4049000.0,,Sector 49
126,2.0,Ready to move,855 ,4502,3849000.0,,Sector 49
127,1.0,Ready to move,545 ,3486,1899000.0,,Sector 49
128,2.0,Under Construction,831 ,32742,27200000.0,,Sector 146
129,3.0,Ready to move,1585 ,6940,11000000.0,3 ,Sector 78
130,3.0,Ready to move,1345 ,6988,9400000.0,2 ,Sector 78
131,4.0,Ready to move,8500 ,15624,132800000.0,,Sector 150
132,4.0,Ready to move,4500 ,15624,70300000.0,4 ,Sector 150
133,4.0,Ready to move,3767 ,15625,58800000.0,,Sector 150
134,4.0,Ready to move,3150 ,15625,49200000.0,4 ,Sector 150
135,4.0,Ready to move,8000 ,15625,125000000.0,,Sector 150
136,4.0,Ready to move,5750 ,15625,89800000.0,6 ,Sector 150
137,3.0,Ready to move,1690 ,11000,18500000.0,,Sector 150
138,3.0,Ready to move,1495 ,11000,16400000.0,,Sector 150
139,2.0,Ready to move,1245 ,11000,13600000.0,,Sector 150
140,1.0,Ready to move,563 ,28364,15900000.0,,Sector 94
141,1.0,Ready to move,274 ,28430,7761000.0,,Sector 94
142,3.0,Under Construction,1620 ,7530,12200000.0,3 ,Sector 131
143,2.0,Under Construction,975 ,7025,6850000.0,2 ,Sector 131
144,4.0,Ready to move,3220 ,13999,45000000.0,,Sector 150
145,3.0,Ready to move,2190 ,13999,30600000.0,,Sector 150
146,3.0,Ready to move,2460 ,13999,34400000.0,,Sector 150
147,4.0,Ready to move,8250 ,15624,128900000.0,4 ,Sector 150
148,4.0,Ready to move,8500 ,15624,132800000.0,,Sector 150
149,4.0,Ready to move,4500 ,15624,70300000.0,4 ,Sector 150
150,4.0,Ready to move,3767 ,15625,58800000.0,,Sector 150
151,4.0,Ready to move,3150 ,15625,49200000.0,4 ,Sector 150
152,4.0,Ready to move,8000 ,15625,125000000.0,,Sector 150
153,4.0,Ready to move,5750 ,15625,89800000.0,6 ,Sector 150
154,3.0,Ready to move,1690 ,11000,18500000.0,,Sector 150
155,3.0,Ready to move,1495 ,11000,16400000.0,,Sector 150
156,2.0,Ready to move,1245 ,11000,13600000.0,,Sector 150
157,4.0,Ready to move,3501 ,18500,64700000.0,3 ,Sector 107
158,4.0,Ready to move,4482 ,18500,82900000.0,,Sector 107
159,5.0,Ready to move,6570 ,18500,121500000.0,,Sector 107
160,4.0,Under Construction,3300 ,13219,43600000.0,3 ,Sector 150
161,3.0,Under Construction,2350 ,13308,31200000.0,3 ,Sector 150
162,2.0,Ready to move,1250 ,6240,7800000.0,2 ,Sector 168
163,3.0,Under Construction,1675 ,12253,20500000.0,,Sector 150
164,3.0,Under Construction,1615 ,12263,19800000.0,2 ,Sector 150
165,3.0,Under Construction,1615 ,12263,19800000.0,2 ,Sector 150
166,3.0,Under Construction,1400 ,12303,17200000.0,3 ,Sector 150
167,3.0,Under Construction,1400 ,12303,17200000.0,3 ,Sector 150
168,3.0,Ready to move,1775 ,6478,11500000.0,3 ,Sector 119
169,2.0,Ready to move,900 ,3333,3000000.0,2 ,Sector 73
170,1.0,Ready to move,590 ,4025,2375000.0,1 ,Sector 73
171,1.0,Ready to move,600 ,4000,2400000.0,1 ,Sector 73
172,2.0,Ready to move,1202 ,7321,8800000.0,3 ,Sector 137
173,2.0,Ready to move,1111 ,2925,3250000.0,2 ,Noida Extensions
174,1.0,Ready to move,520 ,4230,2200000.0,1 ,Noida Extensions
175,3.0,Under Construction,3355 ,12995,43600000.0,3 ,Sector 150
176,3.0,Ready to move,1715 ,8746,15000000.0,4 ,Sector 137
177,2.0,Ready to move,900 ,3327,2995000.0,2 ,Sector 74
178,3.0,Ready to move,2460 ,9756,24000000.0,4 ,Sector 150
179,2.0,Ready to move,1100 ,3177,3495000.0,2 ,Sector 73
180,4.0,Ready to move,3355 ,12995,43600000.0,4 ,Sector 150
181,3.0,Ready to move,2555 ,12994,33200000.0,3 ,Sector 150
182,3.0,Ready to move,2040 ,12990,26500000.0,3 ,Sector 150
183,3.0,Ready to move,2250 ,11777,26500000.0,3 ,Sector 150
184,3.0,Ready to move,2230 ,14484,32300000.0,3 ,Sector 150
185,3.0,Ready to move,2230 ,14394,32100000.0,3 ,Sector 150
186,3.0,Ready to move,2230 ,14304,31900000.0,3 ,Sector 150
187,3.0,Ready to move,2230 ,14484,32300000.0,3 ,Sector 150
188,3.0,Ready to move,1539 ,32748,50400000.0,3 ,Sector 146
189,3.0,Ready to move,1539 ,32683,50300000.0,3 ,Sector 146
190,3.0,Ready to move,2450 ,11020,27000000.0,3 ,Sector 150
191,3.0,Under Construction,1400 ,7000,9800000.0,,Sector 25 Yamuna Express Way
192,3.0,Ready to move,1405 ,6750,9483000.0,2 ,Sector 22D Yamuna Expressway
193,2.0,Ready to move,920 ,6750,6210000.0,2 ,Sector 22D Yamuna Expressway
194,2.0,Ready to move,1045 ,6750,7053000.0,1 ,Sector 22D Yamuna Expressway
195,3.0,Ready to move,1935 ,5850,11300000.0,,Sector 25 Yamuna Express Way
196,2.0,Ready to move,1000 ,5500,5500000.0,,Sector 25 Yamuna Express Way
197,2.0,Ready to move,1140 ,5550,6327000.0,,Sector 25 Yamuna Express Way
198,2.0,Ready to move,1115 ,5550,6188000.0,,Sector 25 Yamuna Express Way
199,4.0,Ready to move,4350 ,5550,24100000.0,,Sector 25 Yamuna Express Way
200,1.0,Ready to move,595 ,4008,2385000.0,1 ,Sector 73
201,3.0,Ready to move,2095 ,11503,24100000.0,4 ,Sector 137
202,3.0,Ready to move,1495 ,11371,17000000.0,3 ,Sector 143
203,7.0,Ready to move,1750 ,24857,43500000.0,7 ,Sector 26
204,2.0,Ready to move,1100 ,2954,3250000.0,2 ,Noida Extensions
205,2.0,Ready to move,1040 ,3173,3300000.0,1 ,Noida Extensions
206,3.0,Ready to move,1139 ,3643,4150000.0,2 ,Noida Extensions
207,3.0,Ready to move,1900 ,6842,13000000.0,3 ,Sector 78
